numero_arrete,titre,date_publication,lien,pdf_url,is_circulation,contenu_preview,file_hash,date_scrape,pdf_s3_url,poids_pdf_ko
2024-00289,arrêté 2024-00289 portant encadrement du déplacement des supporters et comportant certaines mesures de police à l'encontre de l'AS SAINT-ETIENNE le samedi 2 mars 2024,01/03/2024,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arr%C3%AAt%C3%A9%202024-00289%20match%2002.03.2024%20signature%20Pref77.pdf,False,01/03/2024arrêté 2024-00289 portant encadrement du déplacement des supporters et comportant certaines mesures de police à l'encontre de l'AS SAINT-ETIENNE le samedi 2 mars 2024,fd2847f3,2025-12-10T05:29:51.218466,s3://parisarretes/arretes/2025/2024-00289_fd2847f3.pdf,405.2
2023-01546,Arrêté n°2023-01546 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 16e et de Boulogne-Billancourt à l'occasion de la rencontre de football entre le Paris Saint-Germain FC et le FC Metz les 20 et 21 décembre 2023,14/12/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arrete_n_2023-01546_du_14_DEC_2023.pdf,True,14/12/2023Arrêté n°2023-01546 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 16e et de Boulogne-Billancourt à l'occasion de la rencontre de football entre le,f9336454,2025-12-10T05:29:51.267925,s3://parisarretes/arretes/2025/2023-01546_f9336454.pdf,1345.62
,Arrêté N° 2025/01196 portant interdiction partielle d'une manifestation le 2 Octobre 2025 à Paris,01/10/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2025_1196.pdf,False,01/10/2025Arrêté N° 2025/01196 portant interdiction partielle d'une manifestation le 2 Octobre 2025 à Paris,75a76b4f,2025-12-19T05:30:38.204490,s3://parisarretes/arretes/2025/arrete_75a76b4f.pdf,1312.69
,Arrêté n° 2025/01139 portant interdiction partielle d'une manifestation le 20 septembre 2025 à Paris,20/09/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_2025_01139.pdf,False,20/09/2025Arrêté n° 2025/01139 portant interdiction partielle d'une manifestation le 20 septembre 2025 à Paris,1c195203,2025-12-19T05:30:38.214921,s3://parisarretes/arretes/2025/arrete_1c195203.pdf,1092.99
,"Arrêté N° 2025/01137 autorisant la captation, l'enregistrement et la transmission d'images au moyen de caméras installées sur des aéronefs à Paris à l'occasion d'une manifestation le samedi 20 septembre 2025",19/09/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_2025_01137.pdf,False,"19/09/2025Arrêté N° 2025/01137 autorisant la captation, l'enregistrement et la transmission d'images au moyen de caméras installées sur des aéronefs à Paris à l'occasion d'une manifestation le samedi ",7917613d,2025-12-19T05:30:38.215389,s3://parisarretes/arretes/2025/arrete_7917613d.pdf,1401.79
,Décision relative à la mise en œuvre des mesures d'urgence prises dans le cadre d'un épisode de pollution à l'ozone,20/06/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/decision_o3_20_06_2025_sercom_signe.pdf,False,20/06/2025Décision relative à la mise en œuvre des mesures d'urgence prises dans le cadre d'un épisode de pollution à l'ozone,989a4d99,2025-12-19T05:30:38.256459,s3://parisarretes/arretes/2025/arrete_989a4d99.pdf,900.69
,Arrêté n° 2025/00547 portant interdiction partielle d'une manifestation déclarée le 07 mai 2025 à Paris,06/05/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/doc20250506195326.pdf,False,06/05/2025Arrêté n° 2025/00547 portant interdiction partielle d'une manifestation déclarée le 07 mai 2025 à Paris,9ffd62c5,2025-12-19T05:30:38.294452,s3://parisarretes/arretes/2025/arrete_9ffd62c5.pdf,1119.07
,Arrêté inter-zonal n°30/09/2024-1 portant réglementation de la circulation routière dans le cadre du Sommet de la francophonie les 4 et 5 octobre 2024,04/10/2024,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/ap_interzonal_restrictions_circulation_sommet_francophonie_20241004-4-1.pdf,True,04/10/2024Arrêté inter-zonal n°30/09/2024-1 portant réglementation de la circulation routière dans le cadre du Sommet de la francophonie les 4 et 5 octobre 2024,2d68618f,2025-12-19T05:30:38.442427,s3://parisarretes/arretes/2025/arrete_2d68618f.pdf,967.41
,Arrêté n°2024/01161 portant interdiction d'une manifestation déclarée à Paris place de la Bastille du jeudi 1er août au jeudi 15 août 2024,06/08/2024,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_interdiction_01161_manifestation.pdf,False,06/08/2024Arrêté n°2024/01161 portant interdiction d'une manifestation déclarée à Paris place de la Bastille du jeudi 1er août au jeudi 15 août 2024,5644d6da,2025-12-19T05:30:38.502447,s3://parisarretes/arretes/2025/arrete_5644d6da.pdf,84.13
,Arrêté interpréfectoral modifiant l'arrêté interpréfectoral n°2016-DRIEE-141 portant création de la commission départementale des risques naturels majeurs de Paris,03/08/2024,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/pj2_2024_arrete_modif_creation_driee.pdf,False,03/08/2024Arrêté interpréfectoral modifiant l'arrêté interpréfectoral n°2016-DRIEE-141 portant création de la commission départementale des risques naturels majeurs de Paris,c5418a06,2025-12-19T05:30:38.505066,s3://parisarretes/arretes/2025/arrete_c5418a06.pdf,51.81
,Arrêté n°024-01070 instituant un périmètre de protection et différentes mesures de police à l’occasion des Jeux Olympiques de Paris du mercredi 24 juillet au lundi 12 août 2024 sur le site du Stade de France,23/07/2024,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/2024_01070_23072024.pdf,False,23/07/2024Arrêté n°024-01070 instituant un périmètre de protection et différentes mesures de police à l’occasion des Jeux Olympiques de Paris du mercredi 24 juillet au lundi 12 août 2024 sur le site d,c1b7b6c5,2025-12-19T05:30:38.521161,s3://parisarretes/arretes/2025/arrete_c1b7b6c5.pdf,823.12
,Arrêté du 22 novembre 2023 portant interdiction de déplacement des supporters des girondins de Bordeaux lors de la rencontre du 25 novembre avec le Paris Football Club,23/11/2023,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/Arr%C3%AAt%C3%A9%20minist%C3%A9riel%20PFC-FCGB%20sign%C3%A9%2022%20novembre%202023.pdf,False,23/11/2023Arrêté du 22 novembre 2023 portant interdiction de déplacement des supporters des girondins de Bordeaux lors de la rencontre du 25 novembre avec le Paris Football Club,9a52d69a,2025-12-19T05:30:38.672688,s3://parisarretes/arretes/2025/arrete_9a52d69a.pdf,715.0
