numero_arrete,titre,date_publication,lien,pdf_url,is_circulation,contenu_preview,file_hash,date_scrape,pdf_s3_url,poids_pdf_ko
,Arrêté inter-zonal n°30/09/2024-1 portant réglementation de la circulation routière dans le cadre du Sommet de la francophonie les 4 et 5 octobre 2024,04/10/2024,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/ap_interzonal_restrictions_circulation_sommet_francophonie_20241004-4-1.pdf,True,04/10/2024Arrêté inter-zonal n°30/09/2024-1 portant réglementation de la circulation routière dans le cadre du Sommet de la francophonie les 4 et 5 octobre 2024,2d68618f,2025-12-07T05:26:20.215356,s3://parisarretes/arretes/2025/arrete_2d68618f.pdf,967.41
,Arrêté de dérogation circulation grippe aviaire,07/10/2022,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/ARRETE_DE_DEROGATION_CIRCULATION_GRIPPE_AVIAIRE.pdf,True,07/10/2022Arrêté de dérogation circulation grippe aviaire,b59fbcd8,2025-12-07T05:26:20.673820,s3://parisarretes/arretes/2025/arrete_b59fbcd8.pdf,176.71
,Arrêté n° 22-00713 modifiant provisoirement la circulation et le stationnement dans plusieurs voies à Paris 16ème du 28 au 29 juin 2022,27/06/2022,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arr%C3%AAt%C3%A9%202022-00713%20du%2027%20juin%202022.pdf,True,27/06/2022Arrêté n° 22-00713 modifiant provisoirement la circulation et le stationnement dans plusieurs voies à Paris 16ème du 28 au 29 juin 2022,e318185c,2025-12-07T05:26:20.683401,s3://parisarretes/arretes/2025/arrete_e318185c.pdf,115.09
2025-01637,"Arrêté préfectoral n°2025-01637 du 2 décembre 2025 modifiant provisoirement  la circulation dans certaines voies à Paris 18ème dans le cadre des animations ""Ensemble, Paris 18 se mobilise"" pour le Téléthon 2025, le 6 décembre 2025",02/12/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_2025-01637_02122025.pdf,True,"02/12/2025Arrêté préfectoral n°2025-01637 du 2 décembre 2025 modifiant provisoirement  la circulation dans certaines voies à Paris 18ème dans le cadre des animations ""Ensemble, Paris 18 se mobilise"" p",3e9bf433,2025-12-08T05:31:04.933129,s3://parisarretes/arretes/2025/2025-01637_3e9bf433.pdf,840.23
2025-01629,"Arrêté préfectoral n° 2025-01629 du 2 décembre 2025 modifiant provisoirement la circulation dans plusieurs voies de Paris 16ème, le 5 décembre 2025",02/12/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_2025-01629_02122025.pdf,True,"02/12/2025Arrêté préfectoral n° 2025-01629 du 2 décembre 2025 modifiant provisoirement la circulation dans plusieurs voies de Paris 16ème, le 5 décembre 2025",e5be563b,2025-12-08T05:31:04.934541,s3://parisarretes/arretes/2025/2025-01629_e5be563b.pdf,1701.55
2025-01622,Arrêté préfectoral n°2025-01622 du 28 novembre 2025 modifiant provisoirement le stationnement et la circulation dans plusieurs voies à Paris 6ème à l’occasion de la cérémonie d’hommage à Malik Oussekine le 6 décembre 2025,28/11/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_ndeg2025-01622_du_28_nov_2025_sc.pdf,True,28/11/2025Arrêté préfectoral n°2025-01622 du 28 novembre 2025 modifiant provisoirement le stationnement et la circulation dans plusieurs voies à Paris 6ème à l’occasion de la cérémonie d’hommage à Mal,812eed45,2025-12-08T05:31:04.935848,s3://parisarretes/arretes/2025/2025-01622_812eed45.pdf,799.76
2025-01611,"Arrêté préfectoral n°2025-01611 du 27 novembre 2025 modifiant provisoirement le stationnement et la circulation dans certaines voies de Paris 7ème, 8ème et 16ème à l’occasion de la 3ème édition de la course pédestre « Les 10 KM de la Tour Eiffel » le 7 dé",27/11/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_2025-01611_27112025.pdf,True,"27/11/2025Arrêté préfectoral n°2025-01611 du 27 novembre 2025 modifiant provisoirement le stationnement et la circulation dans certaines voies de Paris 7ème, 8ème et 16ème à l’occasion de la 3ème édit",dae6da11,2025-12-08T05:31:04.938658,s3://parisarretes/arretes/2025/2025-01611_dae6da11.pdf,153.0
2025-01610,Arrêté préfectoral n°2025-01610 du 27 novembre 2025 modifiant provisoirement la circulation rue Jacques Ibert à Paris 17ème le 14 décembre 2025,27/11/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_2025-01610_27112025.pdf,True,27/11/2025Arrêté préfectoral n°2025-01610 du 27 novembre 2025 modifiant provisoirement la circulation rue Jacques Ibert à Paris 17ème le 14 décembre 2025,ddc21dd2,2025-12-08T05:31:04.939238,s3://parisarretes/arretes/2025/2025-01610_ddc21dd2.pdf,148.64
2025-01609,Arrêté préfectoral n°2025-01609 du 27 novembre 2025 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 16ème et de Boulogne-Billancourt à l’occasion de la rencontre de football le 6 décembre 2025,27/11/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_2025-01609_27112025.pdf,True,27/11/2025Arrêté préfectoral n°2025-01609 du 27 novembre 2025 modifiant provisoirement le stationnement et la circulation dans plusieurs voies de Paris 16ème et de Boulogne-Billancourt à l’occasion de,24ac27a7,2025-12-08T05:31:04.939810,s3://parisarretes/arretes/2025/2025-01609_24ac27a7.pdf,1903.99
2025-01591,Arrêté n°2025-01591 modifiant provisoirement le stationnement et la circulation rue Saint-Georges et rue de la Victoire à Paris 9ème les 17 et 18 déc. 2025,26/11/2025,,https://www.prefecturedepolice.interieur.gouv.fr/sites/default/files/Documents/arrete_ndeg2025-01591du_26_nov_2025_sc.pdf,True,26/11/2025Arrêté n°2025-01591 modifiant provisoirement le stationnement et la circulation rue Saint-Georges et rue de la Victoire à Paris 9ème les 17 et 18 déc. 2025,0067f134,2025-12-08T05:31:04.942545,s3://parisarretes/arretes/2025/2025-01591_0067f134.pdf,785.92
